service_code,service_code_name
100001,한식음식점
100002,중국집
100003,일식집
100004,양식집
100005,분식집
100006,패스트푸드점
100007,치킨집
100008,제과점
100009,커피음료
100010,호프간이주점
200001,입시보습학원
200002,외국어학원
200003,예체능학원
200004,치과의원
200005,한의원
200006,일반의원
200007,보육시설
200008,부동산중개업
200009,인테리어
200010,노래방
200011,PC방
200012,당구장
200013,골프연습장
200014,헬스클럽
200016,미용실
200017,네일숍
200018,피부관리실
200019,여관업
200020,세탁소
200021,자동차수리
200022,자동차미용
300001,슈퍼마켓
300002,편의점
300003,컴퓨터판매수리
300004,휴대폰
300005,정육점
300006,과일채소
300007,의류점
300008,패션잡화
300009,약국
300010,문구점
300011,화장품
